split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,EUR_RUB,gold,14,False,5.4e-05,0.965262,454,z_below_crit,False,0.030675,0.72,441,ic_below_min,False,,0.16
train,EUR_RUB,gold,30,False,0.000737,0.577542,454,z_below_crit,False,0.020255,0.335,425,ic_below_min,False,,0.22
train,EUR_RUB,gold,60,False,-0.000417,0.346605,454,z_below_crit,False,0.001044,0.48,395,ic_below_min,False,,0.33
train,EUR_RUB,gold,90,False,-9.9e-05,0.661071,454,z_below_crit,False,0.043729,0.76,365,ic_below_min,False,,0.52
train,DJ_SOUTH_AFRICA,oil,1,False,-0.000597,0.170547,454,z_below_crit,False,0.007356,0.605,454,ic_below_min,False,,0.18
train,DJ_SOUTH_AFRICA,oil,7,False,-0.000352,0.469521,454,z_below_crit,False,0.044366,0.785,448,ic_below_min,False,,0.21
train,DJ_SOUTH_AFRICA,oil,14,False,-0.00011,0.8324,454,z_below_crit,False,0.025293,0.765,441,ic_below_min,False,,0.36
train,DJ_SOUTH_AFRICA,oil,30,False,-0.000374,0.526211,454,z_below_crit,False,0.008068,0.405,425,ic_below_min,False,,0.26
train,DJ_SOUTH_AFRICA,oil,60,False,-0.00013,0.517919,454,z_below_crit,False,0.022295,0.345,395,ic_below_min,False,,0.37
train,DJ_SOUTH_AFRICA,oil,90,False,-0.000157,0.245622,454,z_below_crit,False,0.058504,0.145,365,bootstrap_ci_includes_zero,False,,0.65
train,DJ_SOUTH_AFRICA,rate,1,False,-0.000193,0.425736,454,z_below_crit,False,0.028285,0.31,454,ic_below_min,False,,0.17
train,DJ_SOUTH_AFRICA,rate,7,False,-0.000137,0.729984,454,z_below_crit,False,0.02231,0.3,448,ic_below_min,False,,0.21
train,DJ_SOUTH_AFRICA,rate,14,False,-0.000544,0.246679,454,z_below_crit,False,0.00908,0.435,441,ic_below_min,False,,0.25
train,DJ_SOUTH_AFRICA,rate,30,False,-0.000409,0.525856,454,z_below_crit,False,0.038598,0.765,425,ic_below_min,False,,0.31
train,DJ_SOUTH_AFRICA,rate,60,False,-0.000275,0.459645,454,z_below_crit,False,0.063633,0.1,395,bootstrap_ci_includes_zero,False,,0.42
